"ID","X","Y","Z","RackID"
"GF4927","100.0","10","175","0"
"MT9007","100.0","18","175","0"
"HB6049","100.0","26","175","0"
"ZT8531","100.0","34","175","0"
"HL0159","100.0","42","175","0"
"HY1507","100.0","50","175","0"
"ID0043","100.0","58","175","0"
"FW0970","100.0","66","175","0"
"HF5709","100.0","74","175","0"
"UF6510","100.0","82","175","0"
"MU2857","100.0","90","175","0"
"ZT4236","100.0","10","250","1"
"EI5782","100.0","18","250","1"
"CS8191","100.0","26","250","1"
"WJ8239","100.0","34","250","1"
"QU0266","100.0","42","250","1"
"RF8811","100.0","50","250","1"
"RE9947","100.0","58","250","1"
"MV3578","100.0","66","250","1"
"HZ0764","100.0","74","250","1"
"OR6976","100.0","82","250","1"
"UN4586","100.0","90","250","1"
"AL4490","100.0","10","325","2"
"MX6077","100.0","18","325","2"
"BN1438","100.0","26","325","2"
"KW5711","100.0","34","325","2"
"VJ2987","100.0","42","325","2"
"QY8453","100.0","50","325","2"
"TN5498","100.0","58","325","2"
"RG9589","100.0","66","325","2"
"CK5683","100.0","74","325","2"
"IZ3882","100.0","82","325","2"
"SO6012","100.0","90","325","2"
"AE4329","100.0","10","400","3"
"SL0817","100.0","18","400","3"
"LQ1122","100.0","26","400","3"
"LN9230","100.0","34","400","3"
"GS9791","100.0","42","400","3"
"DK8001","100.0","50","400","3"
"WM5746","100.0","58","400","3"
"PP7601","100.0","66","400","3"
"WQ6416","100.0","74","400","3"
"ND3834","100.0","82","400","3"
"HS4990","100.0","90","400","3"
"AG4047","100.0","10","475","4"
"CB1811","100.0","18","475","4"
"HI8709","100.0","26","475","4"
"QD7862","100.0","34","475","4"
"JJ7414","100.0","42","475","4"
"DO4695","100.0","50","475","4"
"GZ6372","100.0","58","475","4"
"SQ5721","100.0","66","475","4"
"WX2760","100.0","74","475","4"
"LU0689","100.0","82","475","4"
"GJ8477","100.0","90","475","4"
"SH4303","100.0","10","550","5"
"HR1281","100.0","18","550","5"
"YO1647","100.0","26","550","5"
"IR0381","100.0","34","550","5"
"GO4616","100.0","42","550","5"
"AR6488","100.0","50","550","5"
"MD9639","100.0","58","550","5"
"TJ1841","100.0","66","550","5"
"JR5873","100.0","74","550","5"
"OP9261","100.0","82","550","5"
"FA7703","100.0","90","550","5"
"YQ0181","100.0","10","625","6"
"WH9410","100.0","18","625","6"
"ZO0755","100.0","26","625","6"
"MM3824","100.0","34","625","6"
"AL0878","100.0","42","625","6"
"MI6798","100.0","50","625","6"
"YT3589","100.0","58","625","6"
"KI1035","100.0","66","625","6"
"WI6281","100.0","74","625","6"
"OO7112","100.0","82","625","6"
